OBJECTID,slope,risidual,intercept,slope_mean,LONGITUDE,slope_zsco,STATION,rank,LATITUDE,slope_std,slope_tsco,setsize
2,0.07525490573,0.00000000000,-147.51779723000,0.01737401506,-106.50000000000,-0.26410815056,USS0006H19S,2,41.33000000000,0.21915601827,-1.23877703171,22
3,-0.00263327362,0.00000000000,13.98756806240,0.01737401506,-99.06300000000,0.09129244474,USC00390043,2,43.48910000000,0.21915601827,0.90374909448,98
5,0.00053698902,-0.00000000000,18.99763926330,0.01737401506,-92.04430000000,0.07682666522,USC00163800,2,30.41840000000,0.21915601827,0.69143998694,81
6,-0.04478411007,0.00000000000,95.32351787330,0.01737401506,-118.76667000000,0.28362499752,USC00043397,2,36.56667000000,0.21915601827,1.74838190629,38
8,0.02593215893,0.00000000000,-36.70435947140,0.01737401506,-89.98940000000,-0.03905046246,USC00235207,2,36.59940000000,0.21915601827,-0.21029317614,29
10,0.02235964199,0.00000000000,-23.89266883640,0.01737401506,-99.28010000000,-0.02274921292,USC00418845,2,29.60750000000,0.21915601827,-0.09651673634,18
14,0.01181528083,-0.00000000000,-16.05578129920,0.01737401506,-106.63750000000,0.02536427829,USC00485055,2,43.71440000000,0.21915601827,0.20449334917,65
17,0.01250937935,0.00000000000,-9.08063565226,0.01737401506,-101.56670000000,0.02219713493,USR0000TCED,2,35.66670000000,0.21915601827,0.09417446779,18
18,0.07433275563,0.00000000000,-128.43159445400,0.01737401506,-96.86000000000,-0.25990041715,USR0000TLGR,2,29.90750000000,0.21915601827,-1.00658998731,15
20,0.00572632482,0.00000000000,0.00000283903,0.01737401506,-80.13486000000,0.05314793696,USC00441999,1,37.08169000000,0.21915601827,0.05314793696,1
21,-0.33400000000,0.00000000000,663.97200000000,0.01737401506,-106.01667000000,1.60330534310,USC00485581,2,43.55000000000,0.21915601827,2.26741616084,2
22,0.08653606861,0.00000000000,-172.93966369600,0.01737401506,-109.94000000000,-0.31558363804,USS0009D06S,2,45.06000000000,0.21915601827,-1.63982068536,27
24,0.02890410959,0.00000000000,-42.56041095890,0.01737401506,-97.28583000000,-0.05261135248,USC00346756,2,36.14722000000,0.21915601827,-0.11764256054,5
